ticker,fiscal_year_t,target_year,temporal_folds,target,predictor_year_t,cpi_observation_year,fx_observation_year_numerator,fx_observation_year_denominator,intl_cpi_inflation_lag1_wdi,intl_fx_change_official_lag1_wdi,fx_zero_change
دسینا,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
دسینا,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
دسینا,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
دشیمی,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
دشیمی,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
دشیمی,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
دشیمی,1396,1397,"fold1_validation,fold2_train",1,2017,2016,2016,2015,7.24542548953,6.354472391228,False
دشیمی,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
دشیمی,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
دیران,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
دیران,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
دیران,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
دیران,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
دیران,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
دیران,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
دیران,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
رانفور,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
رانفور,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
رانفور,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
رانفور,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
رانفور,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
رانفور,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
رانفور,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
رمپنا,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
رمپنا,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
زمگسا,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
زمگسا,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
زمگسا,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
زمگسا,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
زمگسا,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
