model_family,configuration_id,temporal_fold,seed,validation_pr_auc
random_forest,rf__depth_None__maxfeat_0.5__leaf_10,fold1_validation,20260720,0.378084582761
random_forest,rf__depth_None__maxfeat_0.5__leaf_10,fold1_validation,20260721,0.413154149791
random_forest,rf__depth_None__maxfeat_0.5__leaf_10,fold2_validation,20260719,0.267055680451
random_forest,rf__depth_None__maxfeat_0.5__leaf_10,fold2_validation,20260720,0.270504585362
random_forest,rf__depth_None__maxfeat_0.5__leaf_10,fold2_validation,20260721,0.263926123261
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold1_validation,20260719,0.458022819798
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold1_validation,20260720,0.461661774698
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold1_validation,20260721,0.462920992759
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold2_validation,20260719,0.300686345041
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold2_validation,20260720,0.348885703179
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_1,fold2_validation,20260721,0.338884036346
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_10,fold1_validation,20260719,0.421883546013
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_10,fold1_validation,20260720,0.427982831799
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_10,fold1_validation,20260721,0.399417164471
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_10,fold2_validation,20260719,0.360786626939
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_10,fold2_validation,20260720,0.363271186611
xgboost,xgboost__lr_0.03__depth_2__mcw_1__lambda_10,fold2_validation,20260721,0.362820102095
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_1,fold1_validation,20260719,0.450371196088
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_1,fold1_validation,20260720,0.436220095192
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_1,fold1_validation,20260721,0.430126557147
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_1,fold2_validation,20260719,0.30339496429
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_1,fold2_validation,20260720,0.359486952363
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_1,fold2_validation,20260721,0.339599025121
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_10,fold1_validation,20260719,0.419336271638
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_10,fold1_validation,20260720,0.426656693087
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_10,fold1_validation,20260721,0.412651821388
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_10,fold2_validation,20260719,0.351526914665
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_10,fold2_validation,20260720,0.361659614895
xgboost,xgboost__lr_0.03__depth_2__mcw_5__lambda_10,fold2_validation,20260721,0.36404741446
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_1,fold1_validation,20260719,0.415888197922
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_1,fold1_validation,20260720,0.430529294465
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_1,fold1_validation,20260721,0.412424560385
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_1,fold2_validation,20260719,0.281724474727
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_1,fold2_validation,20260720,0.330119116663
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_1,fold2_validation,20260721,0.292123504803
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_10,fold1_validation,20260719,0.439919579342
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_10,fold1_validation,20260720,0.396605897677
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_10,fold1_validation,20260721,0.390151225834
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_10,fold2_validation,20260719,0.34378811234
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_10,fold2_validation,20260720,0.36911705838
xgboost,xgboost__lr_0.03__depth_3__mcw_1__lambda_10,fold2_validation,20260721,0.324277942101
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_1,fold1_validation,20260719,0.420855577063
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_1,fold1_validation,20260720,0.398672363467
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_1,fold1_validation,20260721,0.38609934542
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_1,fold2_validation,20260719,0.285936272277
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_1,fold2_validation,20260720,0.292743830266
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_1,fold2_validation,20260721,0.330299960144
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_10,fold1_validation,20260719,0.427498086701
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_10,fold1_validation,20260720,0.412271980463
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_10,fold1_validation,20260721,0.378839151158
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_10,fold2_validation,20260719,0.33966635108
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_10,fold2_validation,20260720,0.35945373481
xgboost,xgboost__lr_0.03__depth_3__mcw_5__lambda_10,fold2_validation,20260721,0.348443263809
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_1,fold1_validation,20260719,0.396232017746
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_1,fold1_validation,20260720,0.433663607638
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_1,fold1_validation,20260721,0.399613257831
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_1,fold2_validation,20260719,0.236745475997
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_1,fold2_validation,20260720,0.26890647559
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_1,fold2_validation,20260721,0.265511131175
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_10,fold1_validation,20260719,0.360562364718
