sample_design,ticker,fiscal_year_t,target_year,predictor_row_key_t,dataset_split,temporal_folds,pair_cutoff_date,required_window_retrieval_start,required_window_end_max_strictly_before_cutoff,equity_return_window,realized_volatility,amihud_illiquidity,missing_price_day_count,zero_traded_value_day_count,usable_daily_return_count,usable_amihud_day_count,m2_value_status
main_rule_a_primary,غنوش,1395,1396,غنوش|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,غگل,1395,1396,غگل|1395,development,fold1_validation;fold2_train,2017-01-19,2015-12-19,2017-01-18,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فاذر,1395,1396,فاذر|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فایرا,1395,1396,فایرا|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فباهنر,1395,1396,فباهنر|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فجام,1395,1396,فجام|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فجر,1395,1396,فجر|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فخوز,1395,1396,فخوز|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فرآور,1395,1396,فرآور|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فسرب,1395,1396,فسرب|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فسپا,1395,1396,فسپا|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فمراد,1395,1396,فمراد|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فملی,1395,1396,فملی|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فنورد,1395,1396,فنورد|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فولاژ,1395,1396,فولاژ|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,فپنتا,1395,1396,فپنتا|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
