ticker,target_year,pair_cutoff_date,window_start_calendar_date,t0_trading_date,qTotCap,volume_qTotTran5J,trade_count_zTotTran,raw_close,adjusted_status,first_raw_observation_date_this_ticker,first_adjusted_price_date_this_ticker,days_from_window_start_to_first_raw_observation,days_from_window_start_to_first_adjusted_price,root_cause
فجام,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,12368.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
فمراد,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,8680.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-11-01,-28,105,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
فنورد,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,7438.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
فپنتا,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,9893.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
لبوتان,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,2344.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-07-02,-28,-17,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
لخزر,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,11128.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
لسرما,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,2515.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-07-08,-28,-11,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
چافست,1394,2015-01-20,2014-01-19,2014-01-20,0.0,0.0,0.0,12344.0,ADJUSTED_CLOSE_UNRESOLVED,2013-12-21,2013-12-28,-29,-22,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
کبافق,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,20544.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-395,-395,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
کفرا,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,16685.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-07-06,-395,-378,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
