sample_design,ticker,fiscal_year_t,target_year,temporal_folds,pair_cutoff_date,t_star,t_star_source_range_id,t_star_raw_observation_present,t_star_adjusted_close_present,t_star_qTotCap,t_star_qTotTran5J,t_star_zTotTran,t_star_raw_close,t_star_adjusted_close_status,window_start_calendar_date,t0_trading_date,t0_source_range_id,t0_raw_observation_present,t0_adjusted_close_present,t0_qTotCap,t0_qTotTran5J,t0_zTotTran,t0_raw_close,t0_adjusted_close_status,authorized_range_start,authorized_range_end,first_raw_daily_date,last_raw_daily_date,first_adjusted_price_date,last_adjusted_price_date,window_trading_day_count,missing_price_day_count,zero_traded_value_day_count,usable_daily_return_count,usable_amihud_day_count,equity_return_window_usable,realized_volatility_usable,amihud_illiquidity_usable,primary_root_cause,secondary_root_causes,evidence_status,range_is_partial_source
main_rule_a_primary,غشان,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0071,True,True,2846991478.0,754762.0,135.0,3772.0,OK,2016-07-19,2016-07-19,RNG0071,True,True,189446345.0,78961.0,31.0,2386.0,OK,2013-06-19,2020-07-18,2013-06-19,2020-07-18,2013-06-19,2020-07-18,243,56,56,183,183,True,True,True,,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,غشهد,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0072,True,False,0.0,0.0,0.0,2594.0,ADJUSTED_CLOSE_UNRESOLVED,2016-07-19,2016-07-19,RNG0072,True,True,9735258.0,5000.0,3.0,1952.0,OK,2013-06-19,2020-07-18,2013-06-19,2020-07-18,2013-06-23,2020-07-18,243,107,107,113,113,False,False,False,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,G_FEWER_THAN_126_VALID_RETURNS_ONLY,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,غنوش,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0073,True,False,0.0,0.0,0.0,3678.0,ADJUSTED_CLOSE_UNRESOLVED,2016-07-19,2016-07-19,RNG0073,True,False,0.0,0.0,0.0,3813.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2020-07-18,2013-06-19,2020-07-18,2013-07-06,2020-07-18,243,223,223,6,6,False,False,False,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION;G_FEWER_THAN_126_VALID_RETURNS_ONLY,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,غگل,1395,1396,fold1_validation;fold2_train,2017-01-19,2017-01-18,RNG0074,True,False,0.0,0.0,0.0,40910.0,ADJUSTED_CLOSE_UNRESOLVED,2016-01-18,2016-01-18,RNG0074,True,False,0.0,0.0,0.0,34086.0,ADJUSTED_CLOSE_UNRESOLVED,2012-12-20,2020-01-19,2012-12-22,2020-01-19,2012-12-23,2020-01-15,246,19,19,221,221,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فاذر,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0075,True,False,0.0,0.0,0.0,3042.0,ADJUSTED_CLOSE_UNRESOLVED,2016-07-19,2016-07-19,RNG0075,True,False,0.0,0.0,0.0,5231.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-30,2020-07-12,243,31,31,208,208,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فایرا,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0076,True,False,0.0,0.0,0.0,330.0,ADJUSTED_CLOSE_UNRESOLVED,2016-07-19,2016-07-19,RNG0076,True,False,0.0,0.0,0.0,2828.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-08-03,2020-07-18,243,243,243,0,0,False,False,False,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION;G_FEWER_THAN_126_VALID_RETURNS_ONLY,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فباهنر,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0077,True,False,0.0,0.0,0.0,4325.0,ADJUSTED_CLOSE_UNRESOLVED,2016-07-19,2016-07-19,RNG0077,True,True,5050889703.0,3226308.0,487.0,1566.0,OK,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-24,2020-07-18,243,44,44,192,192,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فجام,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0078,True,True,45919838.0,4529.0,9.0,10609.0,OK,2016-07-19,2016-07-19,RNG0078,True,False,0.0,0.0,0.0,25661.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-21,2020-07-14,243,64,64,148,148,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فجر,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0079,True,True,34603320.0,3221.0,6.0,11045.0,OK,2016-07-19,2016-07-19,RNG0079,True,False,0.0,0.0,0.0,6853.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-23,2020-07-18,243,56,56,159,159,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فخوز,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0080,True,True,30333640917.0,8477755.0,710.0,3578.0,OK,2016-07-19,2016-07-19,RNG0080,True,False,0.0,0.0,0.0,2400.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-21,2020-07-18,243,33,33,205,205,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
