ticker,fiscal_year_t,target_year,window_observation_count,zero_trade_day_count,priced_observation_count,current_valid_return_count,max_possible_valid_returns_if_all_zero_trade_rows_are_non_trading,current_endpoint_requirements_pass,classification
شبندر,1393,1394,241,167,74,70,73,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
شپارس,1393,1394,242,114,128,118,127,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
شپنا,1393,1394,241,167,74,71,73,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
غدام,1393,1394,242,109,133,107,132,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
غسالم,1393,1394,241,111,130,97,129,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
غنوش,1393,1394,241,190,51,13,50,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
غگل,1393,1394,242,182,60,21,59,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فجر,1393,1394,241,162,79,44,78,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فسپا,1393,1394,241,180,61,34,60,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فمراد,1393,1394,241,153,88,75,87,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فنورد,1393,1394,241,99,142,100,141,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
فپنتا,1393,1394,241,79,162,122,161,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
کفپارس,1393,1394,242,184,58,57,57,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
بالبر,1394,1395,246,136,110,81,109,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
ساربیل,1394,1395,246,216,30,13,29,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
ساروم,1394,1395,247,103,144,103,143,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
سبجنو,1394,1395,247,162,85,52,84,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سخاش,1394,1395,247,120,127,82,126,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
سخزر,1394,1395,247,113,134,106,133,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
سدشت,1394,1395,246,181,65,26,64,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سصفها,1394,1395,247,198,49,18,48,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سمازن,1394,1395,247,210,37,15,36,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سنیر,1394,1395,247,227,20,6,19,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سیلام,1394,1395,249,193,56,28,55,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
شپارس,1394,1395,246,132,114,91,113,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
غدام,1394,1395,246,218,28,6,27,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
غسالم,1394,1395,247,91,156,115,155,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
غشهد,1394,1395,247,90,157,113,156,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
غنوش,1394,1395,247,235,12,0,11,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
غگل,1394,1395,246,168,78,46,77,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فایرا,1394,1395,247,186,61,60,60,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فجر,1394,1395,247,187,60,36,59,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فسپا,1394,1395,247,193,54,21,53,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فنورد,1394,1395,247,134,113,72,112,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
ساربیل,1395,1396,244,202,42,17,41,True,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سبجنو,1395,1396,243,111,132,105,131,True,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
سخاش,1395,1396,243,91,152,105,151,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
سخزر,1395,1396,243,105,138,98,137,True,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
سدشت,1395,1396,246,171,75,42,74,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سصفها,1395,1396,243,134,109,79,108,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سمازن,1395,1396,244,157,87,53,86,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سنیر,1395,1396,243,214,29,9,28,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
