unique_request_id,ticker,InsCode,endpoint_date,endpoint_occurrence_count,official_calendar_member,calendar_evidence_endpoint,daily_row_present,daily_closing_evidence_endpoint,zTotTran,qTotTran5J,qTotCap,raw_close,zero_trade,trade_history_records,trade_history_empty,trade_evidence_endpoint,literal_state_code,state_meaning,state_evidence_endpoint,adjusted_close_availability,scientific_inclusion_decision
UNQ0050,سیلام,14617104402836487,2016-05-17,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14617104402836487,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14617104402836487/20160517,0.0,0.0,0.0,4919.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14617104402836487/20160517/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14617104402836487/20160517,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0051,سیلام,14617104402836487,2016-05-18,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14617104402836487,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14617104402836487/20160518,0.0,0.0,0.0,4919.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14617104402836487/20160518/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14617104402836487/20160518,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0052,سیلام,14617104402836487,2017-05-17,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14617104402836487,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14617104402836487/20170517,0.0,0.0,0.0,4197.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14617104402836487/20170517/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14617104402836487/20170517,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0053,سیلام,14617104402836487,2017-05-20,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14617104402836487,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14617104402836487/20170520,0.0,0.0,0.0,4197.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14617104402836487/20170520/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14617104402836487/20170520,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0054,سیلام,14617104402836487,2018-05-19,2,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14617104402836487,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14617104402836487/20180519,0.0,0.0,0.0,2300.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14617104402836487/20180519/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14617104402836487/20180519,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0055,سیلام,14617104402836487,2019-05-19,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14617104402836487,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14617104402836487/20190519,0.0,0.0,0.0,6556.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14617104402836487/20190519/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14617104402836487/20190519,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0056,ساروم,15949743338644220,2015-07-19,2,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/15949743338644220,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/15949743338644220/20150719,0.0,0.0,0.0,4706.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/15949743338644220/20150719/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/15949743338644220/20150719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0057,ساروم,15949743338644220,2016-07-19,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/15949743338644220,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/15949743338644220/20160719,0.0,0.0,0.0,2618.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/15949743338644220/20160719/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/15949743338644220/20160719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0058,حپترو,16369313804633525,2015-07-19,2,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/16369313804633525,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/16369313804633525/20150719,0.0,0.0,0.0,2892.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/16369313804633525/20150719/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/16369313804633525/20150719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0059,حپترو,16369313804633525,2016-07-18,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/16369313804633525,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/16369313804633525/20160718,0.0,0.0,0.0,2946.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/16369313804633525/20160718/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/16369313804633525/20160718,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0060,حپترو,16369313804633525,2016-07-19,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/16369313804633525,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/16369313804633525/20160719,0.0,0.0,0.0,2946.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/16369313804633525/20160719/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/16369313804633525/20160719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0061,حپترو,16369313804633525,2017-07-18,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/16369313804633525,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/16369313804633525/20170718,0.0,0.0,0.0,4128.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/16369313804633525/20170718/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/16369313804633525/20170718,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0062,حپترو,16369313804633525,2017-07-19,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/16369313804633525,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/16369313804633525/20170719,0.0,0.0,0.0,4128.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/16369313804633525/20170719/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/16369313804633525/20170719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0063,حپترو,16369313804633525,2018-07-18,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/16369313804633525,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/16369313804633525/20180718,0.0,0.0,0.0,2302.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/16369313804633525/20180718/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/16369313804633525/20180718,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0064,حپترو,16369313804633525,2019-07-17,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/16369313804633525,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/16369313804633525/20190717,0.0,0.0,0.0,9476.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/16369313804633525/20190717/true,I ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/16369313804633525/20190717,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
