symbol,insCode,first_trade_date_gregorian,first_trade_date_jalali,status,note
فولاژ,40808043719554948,2011-03-09,1389/12/18,ok,"This is first observed trading date, not official IPO/listing date."
فپنتا,68488673556087148,2001-03-25,1380/01/05,ok,"This is first observed trading date, not official IPO/listing date."
لابسا,63363116407864462,2001-03-25,1380/01/05,ok,"This is first observed trading date, not official IPO/listing date."
لبوتان,30650426998863332,2001-04-18,1380/01/29,ok,"This is first observed trading date, not official IPO/listing date."
لخزر,65414507129586385,2001-07-08,1380/04/17,ok,"This is first observed trading date, not official IPO/listing date."
لسرما,55897939403232751,2001-03-25,1380/01/05,ok,"This is first observed trading date, not official IPO/listing date."
نوری,,,,ambiguous,Multiple instruments matched symbol 'نوری'
های وب,43362635835198978,2017-09-13,1396/06/22,ok,"This is first observed trading date, not official IPO/listing date."
همراه,,,,ambiguous,Multiple instruments matched symbol 'همراه'
ومعادن,58931793851445922,2001-05-13,1380/02/23,ok,"This is first observed trading date, not official IPO/listing date."
وملی,41796741644273824,2003-07-08,1382/04/17,ok,"This is first observed trading date, not official IPO/listing date."
پارس,6110133418282108,2018-07-11,1397/04/20,ok,"This is first observed trading date, not official IPO/listing date."
پارسان,23441366113375722,2012-02-15,1390/11/26,ok,"This is first observed trading date, not official IPO/listing date."
پدرخش,24079409192818584,2001-03-26,1380/01/06,ok,"This is first observed trading date, not official IPO/listing date."
پرداخت,59607545337891226,2017-07-18,1396/04/27,ok,"This is first observed trading date, not official IPO/listing date."
پسهند,10120557300120078,2001-05-07,1380/02/17,ok,"This is first observed trading date, not official IPO/listing date."
پلاسک,57722642338781674,2005-04-05,1384/01/16,ok,"This is first observed trading date, not official IPO/listing date."
پی‌پاد,,,,not_found,Symbol not found in TSETMC instrument search
چافست,23936607891892333,2001-04-09,1380/01/20,ok,"This is first observed trading date, not official IPO/listing date."
چکارن,53113471126689455,2001-03-26,1380/01/06,ok,"This is first observed trading date, not official IPO/listing date."
کاوه,60350996279289099,2017-10-18,1396/07/26,ok,"This is first observed trading date, not official IPO/listing date."
کبافق,43256212620530446,2004-02-25,1382/12/06,ok,"This is first observed trading date, not official IPO/listing date."
کرازی,57086055330734195,2005-05-14,1384/02/24,ok,"This is first observed trading date, not official IPO/listing date."
کروی,22787503301679573,2001-04-09,1380/01/20,ok,"This is first observed trading date, not official IPO/listing date."
کفرا,23837844039713715,2001-04-10,1380/01/21,ok,"This is first observed trading date, not official IPO/listing date."
کفپارس,19471788163911687,2001-04-07,1380/01/18,ok,"This is first observed trading date, not official IPO/listing date."
کهمدا,67206358287598044,2001-03-25,1380/01/05,ok,"This is first observed trading date, not official IPO/listing date."
کویر,43545527030854340,2019-10-09,1398/07/17,ok,"This is first observed trading date, not official IPO/listing date."
کگاز,62346804681275278,2001-03-25,1380/01/05,ok,"This is first observed trading date, not official IPO/listing date."
کگل,35700344742885862,2004-08-29,1383/06/08,ok,"This is first observed trading date, not official IPO/listing date."
کیمیاتک,39884565732277052,2021-09-08,1400/06/17,ok,"This is first observed trading date, not official IPO/listing date."
