ticker,fiscal_year_t,target_year,current_InsCode,current_ISIN,window_observation_count,missing_adjusted_price_days,zero_trade_days,valid_return_count,authorized_range_start,authorized_range_end,range_is_partial_source
فمراد,1393,1394,18004480270695404,IRO1ALMR0001,241,153,153,75,2014-06-19,2020-07-18,False
فنورد,1393,1394,56324206651661881,IRO1NGFO0001,241,99,99,100,2014-06-19,2020-07-18,False
فپنتا,1393,1394,68488673556087148,IRO1SPTA0001,241,79,79,122,2014-06-19,2020-07-18,False
کفپارس,1393,1394,19471788163911687,IRO1NSPS0001,242,184,184,57,2013-03-19,2020-04-17,False
بالبر,1394,1395,62952165421099192,IRO1KALZ0001,246,136,136,81,2013-12-20,2020-01-19,False
ساربیل,1394,1395,34890845654517313,IRO1SADB0001,246,216,216,13,2014-03-19,2020-04-17,False
ساروم,1394,1395,15949743338644220,IRO1SURO0001,247,103,103,103,2014-06-19,2020-07-18,False
سبجنو,1394,1395,66295665969375744,IRO1SBOJ0001,247,162,162,52,2014-06-19,2020-07-18,False
سخاش,1394,1395,4470657233334072,IRO1SKHS0001,247,120,120,82,2014-06-19,2020-07-18,False
سخزر,1394,1395,67327029014085707,IRO1SKAZ0001,247,113,113,106,2013-06-19,2020-07-18,False
سدشت,1394,1395,27000326841257664,IRO1SDST0001,246,181,181,26,2012-12-20,2020-01-19,False
سصفها,1394,1395,10568944722570445,IRO1SEFH0001,247,198,198,18,2014-06-19,2020-07-18,False
سمازن,1394,1395,33808206014018431,IRO1SMAZ0001,247,210,210,15,2013-06-19,2020-04-17,False
سنیر,1394,1395,14231831499205396,IRO1SSNR0001,247,227,227,6,2014-06-19,2020-07-18,False
سیلام,1394,1395,14617104402836487,IRO1SEIL0001,249,193,193,28,2013-04-19,2020-05-18,False
شپارس,1394,1395,61102694810476197,IRO1BMPS0001,246,132,132,91,2013-12-20,2020-01-19,False
غدام,1394,1395,2254054929817435,IRO1KDPS0001,246,218,218,6,2013-03-19,2020-04-17,False
غسالم,1394,1395,28672095850798501,IRO1SLMN0001,247,91,91,115,2013-06-19,2020-07-18,False
غشهد,1394,1395,20487994977117557,IRO1SHAD0001,247,90,90,113,2013-06-19,2020-07-18,False
غنوش,1394,1395,48619517949257749,IRO1NOSH0001,247,235,235,0,2013-06-19,2020-07-18,False
غگل,1394,1395,22299894048845903,IRO1GCOZ0001,246,168,168,46,2012-12-20,2020-01-19,False
فایرا,1394,1395,65004959184388996,IRO1ALIR0001,247,186,186,60,2014-06-19,2020-07-18,False
فجر,1394,1395,41302553376174581,IRO1FAJR0001,247,187,187,36,2014-06-19,2020-07-18,False
فسپا,1394,1395,8977441217024425,IRO1SEPA0001,247,193,193,21,2014-06-19,2020-07-18,False
فنورد,1394,1395,56324206651661881,IRO1NGFO0001,247,134,134,72,2014-06-19,2020-07-18,False
ساربیل,1395,1396,34890845654517313,IRO1SADB0001,244,202,202,17,2014-03-19,2020-04-17,False
سبجنو,1395,1396,66295665969375744,IRO1SBOJ0001,243,111,111,105,2014-06-19,2020-07-18,False
سخاش,1395,1396,4470657233334072,IRO1SKHS0001,243,91,91,105,2014-06-19,2020-07-18,False
سخزر,1395,1396,67327029014085707,IRO1SKAZ0001,243,105,105,98,2013-06-19,2020-07-18,False
سدشت,1395,1396,27000326841257664,IRO1SDST0001,246,171,171,42,2012-12-20,2020-01-19,False
سصفها,1395,1396,10568944722570445,IRO1SEFH0001,243,134,134,79,2014-06-19,2020-07-18,False
سمازن,1395,1396,33808206014018431,IRO1SMAZ0001,244,157,157,53,2013-06-19,2020-04-17,False
سنیر,1395,1396,14231831499205396,IRO1SSNR0001,243,214,214,9,2014-06-19,2020-07-18,False
سیلام,1395,1396,14617104402836487,IRO1SEIL0001,243,163,163,55,2013-04-19,2020-05-18,False
شدوص,1395,1396,40611478183231802,IRO1DODE0001,243,181,181,60,2014-06-19,2020-07-18,False
غدام,1395,1396,2254054929817435,IRO1KDPS0001,244,207,207,24,2013-03-19,2020-04-17,False
غسالم,1395,1396,28672095850798501,IRO1SLMN0001,243,103,103,89,2013-06-19,2020-07-18,False
غشهد,1395,1396,20487994977117557,IRO1SHAD0001,243,107,107,113,2013-06-19,2020-07-18,False
غنوش,1395,1396,48619517949257749,IRO1NOSH0001,243,223,223,6,2013-06-19,2020-07-18,False
فایرا,1395,1396,65004959184388996,IRO1ALIR0001,243,243,243,0,2014-06-19,2020-07-18,False
فسپا,1395,1396,8977441217024425,IRO1SEPA0001,243,111,111,94,2014-06-19,2020-07-18,False
فنورد,1395,1396,56324206651661881,IRO1NGFO0001,243,104,104,103,2014-06-19,2020-07-18,False
کگاز,1395,1396,62346804681275278,IRO1SGAZ0001,243,142,142,95,2013-06-19,2020-07-18,False
ساربیل,1396,1397,34890845654517313,IRO1SADB0001,243,169,169,33,2014-03-19,2020-04-17,False
سبجنو,1396,1397,66295665969375744,IRO1SBOJ0001,242,90,90,119,2014-06-19,2020-07-18,False
سخاش,1396,1397,4470657233334072,IRO1SKHS0001,242,121,121,74,2014-06-19,2020-07-18,False
سخزر,1396,1397,67327029014085707,IRO1SKAZ0001,242,136,136,64,2013-06-19,2020-07-18,False
سدشت,1396,1397,27000326841257664,IRO1SDST0001,245,163,163,47,2012-12-20,2020-01-19,False
سصفها,1396,1397,10568944722570445,IRO1SEFH0001,242,123,123,78,2014-06-19,2020-07-18,False
سمازن,1396,1397,33808206014018431,IRO1SMAZ0001,243,183,183,29,2013-06-19,2020-04-17,False
سنیر,1396,1397,14231831499205396,IRO1SSNR0001,242,205,205,16,2014-06-19,2020-07-18,False
غدام,1396,1397,2254054929817435,IRO1KDPS0001,243,151,151,62,2013-03-19,2020-04-17,False
غنوش,1396,1397,48619517949257749,IRO1NOSH0001,242,228,228,4,2013-06-19,2020-07-18,False
فاذر,1396,1397,38547060135156069,IRO1AZAB0001,242,242,242,0,2014-06-19,2020-07-18,False
فجام,1396,1397,30765727085936322,IRO1JAMD0001,242,103,103,91,2014-06-19,2020-07-18,False
فجر,1396,1397,41302553376174581,IRO1FAJR0001,242,129,129,80,2014-06-19,2020-07-18,False
فنورد,1396,1397,56324206651661881,IRO1NGFO0001,242,103,103,106,2014-06-19,2020-07-18,False
های وب,1396,1397,43362635835198978,IRO1HWEB0001,215,181,181,31,2017-06-19,2020-07-18,True
زپارس,1397,1398,33420285433308219,IRO1ZPRS0001,234,118,118,114,2018-03-19,2020-04-17,True
سدشت,1397,1398,27000326841257664,IRO1SDST0001,243,103,103,109,2012-12-20,2020-01-19,False
غنوش,1397,1398,48619517949257749,IRO1NOSH0001,246,235,235,2,2013-06-19,2020-07-18,False
