unique_request_id,InsCode,ISIN,ticker,endpoint_date,occurrence_count,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0076,20487994977117557,IRO1SHAD0001,غشهد,2018-07-17,1,0.0,0.0,0.0,1736.0
UNQ0077,22086876724551482,IRO1MOTJ0001,بموتو,2013-01-19,1,0.0,0.0,0.0,3336.0
UNQ0078,22299894048845903,IRO1GCOZ0001,غگل,2013-01-19,1,0.0,0.0,0.0,16268.0
UNQ0079,22299894048845903,IRO1GCOZ0001,غگل,2014-01-18,1,0.0,0.0,0.0,37442.0
UNQ0080,22299894048845903,IRO1GCOZ0001,غگل,2014-01-20,1,0.0,0.0,0.0,37442.0
UNQ0081,22299894048845903,IRO1GCOZ0001,غگل,2015-01-19,2,0.0,0.0,0.0,19755.0
UNQ0082,22299894048845903,IRO1GCOZ0001,غگل,2016-01-18,1,0.0,0.0,0.0,34086.0
UNQ0083,22299894048845903,IRO1GCOZ0001,غگل,2016-01-19,1,0.0,0.0,0.0,34086.0
UNQ0084,22299894048845903,IRO1GCOZ0001,غگل,2017-01-17,1,0.0,0.0,0.0,40910.0
UNQ0085,22299894048845903,IRO1GCOZ0001,غگل,2017-01-18,1,0.0,0.0,0.0,40910.0
UNQ0086,22299894048845903,IRO1GCOZ0001,غگل,2018-01-17,1,0.0,0.0,0.0,17650.0
UNQ0087,22299894048845903,IRO1GCOZ0001,غگل,2018-01-20,1,0.0,0.0,0.0,17650.0
UNQ0088,22299894048845903,IRO1GCOZ0001,غگل,2019-01-19,2,0.0,0.0,0.0,11121.0
UNQ0089,22299894048845903,IRO1GCOZ0001,غگل,2020-01-19,1,0.0,0.0,0.0,62396.0
UNQ0090,22382156782768756,IRO1KGND0001,بکام,2015-07-19,2,0.0,0.0,0.0,1682.0
UNQ0091,22382156782768756,IRO1KGND0001,بکام,2017-07-18,1,0.0,0.0,0.0,2600.0
UNQ0092,22382156782768756,IRO1KGND0001,بکام,2017-07-19,1,0.0,0.0,0.0,2600.0
UNQ0093,22382156782768756,IRO1KGND0001,بکام,2020-07-18,1,0.0,0.0,0.0,9120.0
UNQ0094,2254054929817435,IRO1KDPS0001,غدام,2014-04-16,1,0.0,0.0,0.0,13553.0
UNQ0095,2254054929817435,IRO1KDPS0001,غدام,2014-04-19,1,0.0,0.0,0.0,13153.0
UNQ0096,2254054929817435,IRO1KDPS0001,غدام,2016-04-17,1,0.0,0.0,0.0,9019.0
UNQ0097,2254054929817435,IRO1KDPS0001,غدام,2016-04-18,1,0.0,0.0,0.0,9019.0
UNQ0098,2254054929817435,IRO1KDPS0001,غدام,2017-04-18,2,0.0,0.0,0.0,7087.0
UNQ0099,2254054929817435,IRO1KDPS0001,غدام,2018-04-17,1,0.0,0.0,0.0,6904.0
UNQ0100,2254054929817435,IRO1KDPS0001,غدام,2018-04-18,1,0.0,0.0,0.0,6904.0
UNQ0101,23837844039713715,IRO1NASI0001,کفرا,2014-07-16,1,0.0,0.0,0.0,16685.0
UNQ0102,23837844039713715,IRO1NASI0001,کفرا,2014-07-20,1,0.0,0.0,0.0,16685.0
UNQ0103,23837844039713715,IRO1NASI0001,کفرا,2015-07-19,2,0.0,0.0,0.0,8793.0
UNQ0104,23936607891892333,IRO1OFST0001,چافست,2014-01-20,1,0.0,0.0,0.0,12344.0
