row_key,ticker,company_name,fiscal_year,registered_capital,accumulated_loss,equity,operating_cash_flow,total_liabilities,total_assets,net_income,leverage_ratio_used,accumulated_loss_ratio_used,fd_article141_direct,fd_accumulated_loss,fd_negative_equity,fd_ocf_high_leverage,persistent_loss_flag,FD_target_main,FD_target_article141_only,FD_target_persistent_loss_robustness,positive_target_reasons,target_missing_reason,distressed_target_reviewed,target_status_reviewed,distressed_flag_source_reviewed,ocf_resolution_status,statement_scope_status,non_12_month_period_flag,audit_status_clean,data_quality_flag,source_file,industry,prior_distressed_target_reviewed,target_changed_vs_prior,change_reason
فرآور|1395,فرآور,فرآوری مواد معدنی ایران,1395,120000.0,0.0,296641.0,121793.0,217860.0,514501.0,130552.0,0.423439,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,فرآور_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فرآور|1396,فرآور,فرآوری مواد معدنی ایران,1396,120000.0,0.0,476002.0,93000.0,125780.0,601782.0,263361.0,0.209013,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,فرآور_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فرآور|1397,فرآور,فرآوری مواد معدنی ایران,1397,120000.0,0.0,827364.0,114036.0,371707.0,1199071.0,483362.0,0.309996,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,فرآور_۱۳۹۷_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فرآور|1398,فرآور,فرآوری مواد معدنی ایران,1398,660000.0,0.0,1004550.0,126528.0,897568.0,1902118.0,297186.0,0.471878,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,فرآور_۱۳۹۸_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فرآور|1399,فرآور,فرآوری مواد معدنی ایران,1399,660000.0,0.0,1513153.0,54534.0,1412592.0,2925745.0,693130.0,0.482814,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,فرآور_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فرآور|1400,فرآور,فرآوری مواد معدنی ایران,1400,660000.0,0.0,2796858.0,880132.0,1426168.0,4223026.0,1595818.0,0.337712,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,فرآور_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فرآور|1401,فرآور,فرآوری مواد معدنی ایران,1401,660000.0,0.0,3487637.0,45002.0,3104812.0,6592449.0,1026926.0,0.470965,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,فرآور_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,نامشخص در فایل ارسالی,0,0,
فرآور|1402,فرآور,فرآوری مواد معدنی ایران,1402,660000.0,0.0,6890422.0,540253.0,3356016.0,10246438.0,4029018.0,0.32753,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,فرآور_۱۴۰۲_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فارس|1393,فارس,شرکت صنایع پتروشیمی خلیج فارس,1393,24788614.0,0.0,79206462.0,,60706855.0,139913317.0,34705689.0,0.433889,0.0,missing,0,0,0,missing,0,0,missing,,,0,complete_canonical_stage106,canonical_formula_stage106,deferred_unresolved,separate_or_parent_only_indicated,0,audit_status_unknown,partial_extracted_verify_required,f01.xlsx,محصولات شیمیایی / هلدینگ پتروشیمی,0,0,
فارس|1394,فارس,شرکت صنایع پتروشیمی خلیج فارس,1394,24788614.0,0.0,105118038.0,,84806690.0,189924728.0,50737761.0,0.446528,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,deferred_unresolved,separate_or_parent_only_indicated,0,audit_status_unknown,partial_extracted_verify_required,f02.xlsx,محصولات شیمیایی / هلدینگ پتروشیمی,0,0,
