ticker,fiscal_year_t,target_year,temporal_folds,pair_cutoff_date,window_start_calendar_date,window_first_trading_date,window_last_trading_date,t_star,window_trading_day_count,usable_daily_return_count,usable_amihud_day_count,missing_price_day_count,zero_traded_value_day_count,d2_start_trading_date,d2_end_trading_date,d2_effective_span_days,d2_status,equity_return_d2,d2_no_start_boundary_price,d2_no_end_boundary_price,d2_start_adjusted_close_is_zero,fewer_than_126_valid_returns,realized_volatility,amihud_illiquidity,equity_return_window_d0_historical,in_three_variable_common_sample,m2_value_status
بکام,1395,1396,"fold1_validation,fold2_train",2017-07-21,2016-07-19,2016-07-19,2017-07-19,2017-07-19,243,200,200,39,39,2016-07-19,,,UNAVAILABLE: no valid adjusted_close in end-boundary month,,False,True,False,False,0.021571674623737234,8.201682757233304e-12,,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
بکام,1396,1397,"fold1_validation,fold2_train",2018-07-20,2017-07-18,2017-07-18,2018-07-18,2018-07-18,242,180,180,57,57,,2018-07-18,,UNAVAILABLE: no valid adjusted_close in start-boundary month,,True,False,False,False,0.023089356157560793,1.2337410547568637e-11,,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
بکام,1397,1398,fold2_validation,2019-07-20,2018-07-17,2018-07-17,2019-07-17,2019-07-17,246,228,228,12,12,2018-07-17,2019-07-17,365,OBSERVED_COMPLETE,2.560747663551402,False,False,False,False,0.035268627830885586,7.530835454001958e-12,2.560747663551402,True,OBSERVED_COMPLETE
بکام,1398,1399,fold2_validation,2020-07-19,2019-07-18,2019-07-20,2020-07-18,2020-07-18,240,202,202,31,31,2019-07-20,,,UNAVAILABLE: no valid adjusted_close in end-boundary month,,False,True,False,False,0.034701180269386595,1.2050294320146605e-12,,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
تپمپی,1393,1394,"fold1_train,fold2_train",2014-10-22,2013-10-21,2013-10-21,2014-10-21,2014-10-21,244,126,126,102,102,2013-10-30,2014-10-18,353,OBSERVED_COMPLETE,0.6666666666666667,False,False,False,False,0.023383686365660825,2.3832776211533408e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
تپمپی,1394,1395,"fold1_train,fold2_train",2015-10-22,2014-10-21,2014-10-21,2015-10-21,2015-10-21,245,173,173,46,46,2014-10-25,2015-10-18,358,OBSERVED_COMPLETE,-0.15384615384615385,False,False,False,False,0.019842861857902485,4.257628378132432e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
تپمپی,1395,1396,"fold1_validation,fold2_train",2016-10-21,2015-10-19,2015-10-19,2016-10-19,2016-10-19,245,180,180,48,48,2015-10-25,2016-10-16,357,OBSERVED_COMPLETE,0.375,False,False,False,False,0.0190280138208843,6.12314307455328e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
تپمپی,1396,1397,"fold1_validation,fold2_train",2017-10-22,2016-10-21,2016-10-22,2017-10-21,2017-10-21,242,204,204,26,26,2016-10-24,2017-10-21,362,OBSERVED_COMPLETE,0.19696969696969702,False,False,False,False,0.020970479203033104,4.115361981515427e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
تپمپی,1397,1398,fold2_validation,2018-10-22,2017-10-21,2017-10-21,2018-10-21,2018-10-21,246,214,214,20,20,2017-10-21,2018-10-21,365,OBSERVED_COMPLETE,0.2278481012658229,False,False,False,False,0.023127548014912905,3.931001027210215e-11,0.2278481012658229,True,OBSERVED_COMPLETE
تپمپی,1398,1399,fold2_validation,2019-10-22,2018-10-21,2018-10-21,2019-10-21,2019-10-21,241,234,234,5,5,2018-10-21,2019-10-16,360,OBSERVED_COMPLETE,3.0,False,False,False,False,0.03232832456906398,1.4331374345199241e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
