ticker,fiscal_year_t,pair_cutoff_date,t0_trading_date,tN_trading_date,window_trading_day_count,usable_daily_return_count,d0_equity_return_window_usable,realized_volatility_usable,amihud_illiquidity_usable,in_three_variable_common_sample,m2_value_status
خرینگ,1396,2018-07-20,2017-07-18,2018-07-18,242,223,True,True,True,True,OBSERVED_COMPLETE
خمحور,1396,2018-07-20,2017-07-18,2018-07-18,242,233,True,True,True,True,OBSERVED_COMPLETE
خمهر,1396,2018-07-20,2017-07-18,2018-07-18,242,234,True,True,True,True,OBSERVED_COMPLETE
خنصیر,1396,2018-07-20,2017-07-18,2018-07-18,242,217,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
خوساز,1396,2018-07-20,2017-07-18,2018-07-18,242,226,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
خچرخش,1396,2018-07-20,2017-07-18,2018-07-18,242,234,True,True,True,True,OBSERVED_COMPLETE
خکمک,1396,2018-07-20,2017-07-18,2018-07-18,242,233,True,True,True,True,OBSERVED_COMPLETE
ددام,1396,2018-07-20,2017-07-18,2018-07-18,242,200,True,True,True,True,OBSERVED_COMPLETE
دروز,1396,2018-07-20,2017-07-18,2018-07-18,242,155,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
دسبحا,1396,2018-07-20,2017-07-18,2018-07-18,242,223,True,True,True,True,OBSERVED_COMPLETE
دسینا,1396,2018-07-20,2017-07-18,2018-07-18,242,220,True,True,True,True,OBSERVED_COMPLETE
دشیمی,1396,2018-07-20,2017-07-18,2018-07-18,242,173,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
دیران,1396,2018-07-20,2017-07-18,2018-07-18,242,211,True,True,True,True,OBSERVED_COMPLETE
رانفور,1396,2018-07-20,2017-07-18,2018-07-18,242,235,True,True,True,True,OBSERVED_COMPLETE
زمگسا,1396,2018-07-20,2017-07-18,2018-07-18,242,226,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
ساراب,1396,2018-07-20,2017-07-18,2018-07-18,242,230,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
ساربیل,1396,2018-04-19,2017-04-18,2018-04-18,243,33,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=33 < 126; adjusted_close missing at window end T*; usable_amihud_day_count=33 < 126
ساروم,1396,2018-07-20,2017-07-18,2018-07-18,242,223,True,True,True,True,OBSERVED_COMPLETE
سبجنو,1396,2018-07-20,2017-07-18,2018-07-18,242,119,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=119 < 126; usable_amihud_day_count=119 < 126
سبهان,1396,2018-07-20,2017-07-18,2018-07-18,242,152,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
ستران,1396,2018-07-20,2017-07-18,2018-07-18,242,228,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
