row_key,ticker,company_name,fiscal_year,fiscal_year_end,statement_scope,audit_status,correction_status,selected_role,coverage_status,auditor_opinion_type,auditor_opinion_evidence_kind,auditor_opinion_conflict,auditor_report_date,auditor_block_status,source_relative_path,source_sha256,source_file_type,extraction_status,missing_reason,scientific_status
ثنوسا|1392,ثنوسا,نوسازی وساختمان تهران,1392,1392/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,,1392/08/28,DETECTED,ثنوسا.zip!ثنوسا_۱۳۹۲_۰۶_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۲_۰۶_۳۱ (حسابرسی شده).xlsx,faed4d94c6cf5aee6ae93fca230d74942745df6149d057b8a1c147a6ebe3bf55,OLE2_LEGACY_EXCEL,EXTRACTED_FULL,,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
ثنوسا|1393,ثنوسا,نوسازی وساختمان تهران,1393,1393/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,,1393/08/28,DETECTED,ثنوسا.zip!ثنوسا_۱۳۹۳_۰۶_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۰۶_۳۱ (حسابرسی شده).xlsx,28e25d3bd9aefbe7c968ce5607cf6f4a682c30df73c14f93a9a8d47cc6e5dbf4,OLE2_LEGACY_EXCEL,EXTRACTED_FULL,,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
ثنوسا|1394,ثنوسا,نوسازی و ساختمان تهران,1394,1394/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,,1394/09/17,DETECTED,ثنوسا.zip!ثنوسا_۱۳۹۴_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۰۶_۳۱ (حسابرسی شده).xlsx,ef29e608ba4e6510d48727d1f59f9b06db8fe2e790bd6fac5db6513846f5aa55,OLE2_LEGACY_EXCEL,EXTRACTED_FULL,,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
ثنوسا|1395,ثنوسا,نوسازی و ساختمان تهران,1395,1395/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,,1395/09/17,DETECTED,ثنوسا.zip!ثنوسا_۱۳۹۵_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۰۶_۳۱ (حسابرسی شده).xlsx,020a0ef1a91c786c616b4f733448a652b27b7aaae9293984a7b08da8662486b1,OLE2_LEGACY_EXCEL,EXTRACTED_FULL,,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
ثنوسا|1396,ثنوسا,نوسازی و ساختمان تهران,1396,1396/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,,1396/09/20,DETECTED,ثنوسا.zip!ثنوسا_۱۳۹۶_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۰۶_۳۱ (حسابرسی شده).xlsx,9d749be5600e8f487ed840b4e15a81c265760372e0971af3d2577076a9e7bdc8,OLE2_LEGACY_EXCEL,EXTRACTED_FULL,,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
ثنوسا|1397,ثنوسا,نوسازی و ساختمان تهران,1397,1397/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,,1397/08/29,DETECTED,ثنوسا.zip!ثنوسا_۱۳۹۷_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۰۶_۳۱ (حسابرسی شده).xlsx,8b1ad8f1acd8661d7352cd58a8574b36a32e6fcfc42c717de6bfa2248f55391d,OLE2_LEGACY_EXCEL,EXTRACTED_FULL,,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
ثنوسا|1398,ثنوسا,NOT_FOUND,1398,1398/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,UNVERIFIED,NONE,,NOT_FOUND,NOT_DETECTED,ثنوسا.zip!ثنوسا_۱۳۹۸_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,b926cc349fa6e48d975eb7123330a87465ff48bfe3de095d37198e78f7d02f93,HTML_MISLABELED_XLSX,EXTRACTED_PARTIAL,auditor_opinion_type:UNVERIFIED:NO_AUDITOR_BLOCK_DETECTED;auditor_report_date:NOT_FOUND:NO_AUDITOR_BLOCK_DETECTED,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
ثنوسا|1399,ثنوسا,NOT_FOUND,1399,1399/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,UNVERIFIED,NONE,,NOT_FOUND,NOT_DETECTED,ثنوسا.zip!ثنوسا_۱۳۹۹_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۶_۳۱ (حسابرسی شده).xlsx,189125505eb71b687690bc25b0328c956c0d92f2ccba162fbde3794b9d640ee4,HTML_MISLABELED_XLSX,EXTRACTED_PARTIAL,auditor_opinion_type:UNVERIFIED:NO_AUDITOR_BLOCK_DETECTED;auditor_report_date:NOT_FOUND:NO_AUDITOR_BLOCK_DETECTED,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
ثنوسا|1400,ثنوسا,NOT_FOUND,1400,1400/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,UNVERIFIED,NONE,,NOT_FOUND,NOT_DETECTED,ثنوسا.zip!ثنوسا_۱۴۰۰_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۰۶_۳۱ (حسابرسی شده).xlsx,ed3506bebda53895faa90b2358d01416a5515502d5666318808cc6f788d6626a,HTML_MISLABELED_XLSX,EXTRACTED_PARTIAL,auditor_opinion_type:UNVERIFIED:NO_AUDITOR_BLOCK_DETECTED;auditor_report_date:NOT_FOUND:NO_AUDITOR_BLOCK_DETECTED,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
ثنوسا|1401,ثنوسا,NOT_FOUND,1401,1401/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,UNVERIFIED,NONE,,NOT_FOUND,NOT_DETECTED,ثنوسا.zip!ثنوسا_۱۴۰۱_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۰۶_۳۱ (حسابرسی شده).xlsx,7b69b3252d141fa52c667f6fdb6cf13b74d3ec49767a9c2dce5af28af2b6dfa2,HTML_MISLABELED_XLSX,EXTRACTED_PARTIAL,auditor_opinion_type:UNVERIFIED:NO_AUDITOR_BLOCK_DETECTED;auditor_report_date:NOT_FOUND:NO_AUDITOR_BLOCK_DETECTED,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
