outer_archive,nested_archive,relative_path,filename,actual_file_type,extension,byte_size,sha256,parse_status,error_status,cell_count,payload_verdict,payload_verdict_reason,ticker_inferred,fiscal_year_inferred,fiscal_year_end_from_filename,scope_inferred,audited_marker,correction_marker,auditor_block_status,auditor_block_sheet,auditor_block_start,auditor_block_end,fye_content,fye_loc,opinion_category,opinion_evidence_kind,opinion_heading_location,opinion_paragraph_location,opinion_conflict,opinion_reject_reason,auditor_report_date,auditor_report_date_location,report_date_reject_reason,company_name
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فباهنر.zip,فباهنر.zip!فباهنر_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,فباهنر_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,OLE2_LEGACY_EXCEL,.xlsx,87040,b04ffa6c862c37bd4745f8cb4e81f1e61b50589ad46acecf006617452aa815cb,OK,,719,PAYLOAD_SUBSTANTIVE,,فباهنر,1394,1394/12/29,separate,audited,correction,DETECTED,Sheet1,9,71,1394/12/29,Sheet1!R6C4,مقبول,UNQUALIFIED_FAIR_FORMULA|HEADING_CELL,Sheet1!R28C14,Sheet1!R29C2,,,1395/02/20,Sheet1!R59C23,,صنایع مس شهید باهنر
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فباهنر.zip,فباهنر.zip!فباهنر_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,فباهنر_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,OLE2_LEGACY_EXCEL,.xlsx,87040,04f43a7a3527d7bdbf567cdd1df9df099ff3a95f64830f0680ec773a23ebbb59,OK,,708,PAYLOAD_SUBSTANTIVE,,فباهنر,1395,1395/12/30,separate,audited,original,DETECTED,Sheet1,11,82,1395/12/30,Sheet1!R8C4,مقبول,UNQUALIFIED_FAIR_FORMULA|HEADING_CELL,Sheet1!R40C12,Sheet1!R41C2,,,1396/02/20,Sheet1!R73C20,,صنایع مس شهید باهنر
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فباهنر.zip,فباهنر.zip!فباهنر_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,فباهنر_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,OLE2_LEGACY_EXCEL,.xlsx,81920,83d29c2118a644d05345824ab76b39eab0630649bdd713d560dccfe052216b5d,OK,,710,PAYLOAD_SUBSTANTIVE,,فباهنر,1396,1396/12/29,separate,audited,original,DETECTED,Sheet1,11,69,1396/12/29,Sheet1!R8C4,مقبول,UNQUALIFIED_FAIR_FORMULA|HEADING_CELL,Sheet1!R29C12,Sheet1!R30C2,,,1397/02/22,Sheet1!R60C20,,صنایع مس شهید باهنر
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فباهنر.zip,فباهنر.zip!فباهنر_۱۳۹۷_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,فباهنر_۱۳۹۷_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,113571,66c996f2b6d128c6599148fe2dad38bac45ee8f04218535bed2a44bee00efed5,OK,,495,PAYLOAD_SUBSTANTIVE,,فباهنر,1397,1397/12/29,separate,audited,original,NOT_DETECTED,,,,1397/12/29,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فباهنر.zip,فباهنر.zip!فباهنر_۱۳۹۸_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,فباهنر_۱۳۹۸_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,336276,3cfc5926de99be4a65aeac85deb39742f75d0103d69b3d4edd49d6e36d07080b,OK,,1654,PAYLOAD_SUBSTANTIVE,,فباهنر,1398,1398/12/29,separate,audited,original,NOT_DETECTED,,,,1398/12/29,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فباهنر.zip,فباهنر.zip!فباهنر_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,فباهنر_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,339161,1718d85005842a70cc5dda5e0ee198d24fb0d6c5914fabb8989c402b65c290e9,OK,,1656,PAYLOAD_SUBSTANTIVE,,فباهنر,1399,1399/12/30,separate,audited,original,NOT_DETECTED,,,,1399/12/30,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فباهنر.zip,فباهنر.zip!فباهنر_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,فباهنر_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,436036,cfb6baa73fd8d68d95093012c044073f90f1aeb829dfc15227866f2dd4b9419f,OK,,2179,PAYLOAD_SUBSTANTIVE,,فباهنر,1400,1400/12/29,separate,audited,original,NOT_DETECTED,,,,1400/12/29,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فباهنر.zip,فباهنر.zip!فباهنر_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,فباهنر_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,471263,7877ad793d3c4d3e27e9a189dbf12671f6febdca56e5dc6be58b0684272de301,OK,,2341,PAYLOAD_SUBSTANTIVE,,فباهنر,1401,1401/12/29,separate,audited,original,NOT_DETECTED,,,,1401/12/29,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فباهنر.zip,فباهنر.zip!فباهنر_۱۴۰۲_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,فباهنر_۱۴۰۲_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,479338,576800d7e4dcc5f7315bdf7318545ad3397cc8997b8f78523e8bd2d402a69bdc,OK,,2389,PAYLOAD_SUBSTANTIVE,,فباهنر,1402,1402/12/29,separate,audited,original,NOT_DETECTED,,,,1402/12/29,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فپنتا.zip,فپنتا.zip!فپنتا_۱۳۹۱_۱۲_۳۰_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۱_۱۲_۳۰ (حسابرسی شده).xlsx,فپنتا_۱۳۹۱_۱۲_۳۰_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۱_۱۲_۳۰ (حسابرسی شده).xlsx,OLE2_LEGACY_EXCEL,.xlsx,60416,7f6eb08df5909703e97ccd421b56e39b6cb86e9cf9bd8874fa06486969fb2db3,OK,,546,PAYLOAD_SUBSTANTIVE,,فپنتا,1391,1391/12/30,separate,audited,original,DETECTED,Sheet1,9,70,1391/12/30,Sheet1!R6C4,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,Sheet1!R36C14,Sheet1!R37C2,,,1392/04/06,Sheet1!R62C23,,صنعتی و سرمایه گذاری سپنتا
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فپنتا.zip,فپنتا.zip!فپنتا_۱۳۹۲_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۲_۱۲_۲۹ (حسابرسی شده).xlsx,فپنتا_۱۳۹۲_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۲_۱۲_۲۹ (حسابرسی شده).xlsx,OLE2_LEGACY_EXCEL,.xlsx,58880,c17d6071aed81f8ee4d1a3acda7c86d2f38e4b7b1495a9c0c3eeb24964c583ba,OK,,543,PAYLOAD_SUBSTANTIVE,,فپنتا,1392,1392/12/29,separate,audited,original,DETECTED,Sheet1,9,64,1392/12/29,Sheet1!R6C4,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,Sheet1!R32C14,Sheet1!R34C2,,,1393/04/07,Sheet1!R55C23,,صنعتی و سرمایه گذاری سپنتا
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فپنتا.zip,فپنتا.zip!فپنتا_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,فپنتا_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,OLE2_LEGACY_EXCEL,.xlsx,60928,9619ed12a3a313e87fd70a6be11a79526d341cf17c63c8c1956fcd74f2dbba51,OK,,548,PAYLOAD_SUBSTANTIVE,,فپنتا,1393,1393/12/29,separate,audited,original,DETECTED,Sheet1,9,66,1393/12/29,Sheet1!R6C4,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,Sheet1!R36C14,Sheet1!R37C2,,,1394/04/07,Sheet1!R57C23,,صنعتی سپنتا
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فپنتا.zip,فپنتا.zip!فپنتا_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,فپنتا_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,OLE2_LEGACY_EXCEL,.xlsx,64512,a6207f28209a969b52ee781056fe51a64a69c23eba347efdc944606d543cfabe,OK,,553,PAYLOAD_SUBSTANTIVE,,فپنتا,1394,1394/12/29,separate,audited,original,DETECTED,Sheet1,9,74,1394/12/29,Sheet1!R6C4,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,Sheet1!R36C14,Sheet1!R37C2,,,1395/04/02,Sheet1!R65C23,,صنعتی سپنتا
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فپنتا.zip,فپنتا.zip!فپنتا_۱۳۹۵_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,فپنتا_۱۳۹۵_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,OLE2_LEGACY_EXCEL,.xlsx,125952,db5bdc82374ce7afd1b4940010ff134f2dd878dcfc406bdd233bd8131fdc21d8,OK,,1408,PAYLOAD_SUBSTANTIVE,,فپنتا,1395,1395/12/30,consolidated,audited,original,DETECTED,Sheet1,11,65,1395/12/30,Sheet1!R8C4,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,Sheet1!R33C12,Sheet1!R35C2,,,1396/03/28,Sheet1!R56C20,,صنعتی سپنتا
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فپنتا.zip,فپنتا.zip!فپنتا_۱۳۹۶_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,فپنتا_۱۳۹۶_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,OLE2_LEGACY_EXCEL,.xlsx,128512,ff870fc395e3d5b6da98b54f8256a171b3844765af366563b341826357c922f8,OK,,1410,PAYLOAD_SUBSTANTIVE,,فپنتا,1396,1396/12/29,consolidated,audited,original,DETECTED,Sheet1,11,72,1396/12/29,Sheet1!R8C4,مشروط,QUALIFIED_FAIR_WITH_EXCEPTION|HEADING_CELL,Sheet1!R34C12,Sheet1!R35C2,,,1397/04/02,Sheet1!R63C20,,صنعتی سپنتا
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فپنتا.zip,فپنتا.zip!فپنتا_۱۳۹۷_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,فپنتا_۱۳۹۷_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,233709,51b0990294128ee59382131269d76c5f050147b917a1321be99601f510ac566a,OK,,1045,PAYLOAD_SUBSTANTIVE,,فپنتا,1397,1397/12/29,consolidated,audited,original,NOT_DETECTED,,,,1397/12/29,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فپنتا.zip,فپنتا.zip!فپنتا_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,فپنتا_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,HTML_MISLABELED_XLSX,.xlsx,486694,2d6598b8b78edbcde1c6626265824562441c01f84e1e8b1212925c4eb84442a0,OK,,2272,PAYLOAD_SUBSTANTIVE,,فپنتا,1398,1398/12/29,consolidated,audited,original,NOT_DETECTED,,,,1398/12/29,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
اکسل های صورت مالی کل زیپ ۱۳۹۲-۱۴۰۲.zip,فپنتا.zip,فپنتا.zip!فپنتا_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,فپنتا_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,HTML_MISLABELED_XLSX,.xlsx,486726,3f1b9929179ad45c0092be8463c5c7a8ff0fa4aa6ea8728412f500d6b7f9c6b2,OK,,2273,PAYLOAD_SUBSTANTIVE,,فپنتا,1398,1398/12/29,consolidated,audited,correction,NOT_DETECTED,,,,1398/12/29,HTML_TABLE_1!R1C2,,,,,,NO_AUDITOR_BLOCK_DETECTED,,,NO_AUDITOR_BLOCK_DETECTED,
