row_key,ticker,fiscal_year,missing_field,coverage_status,source_file_type,source_relative_path,reason,required_next_document
بالبر|1401,بالبر,1401,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بالبر.zip!بالبر_۱۴۰۱_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۰۶_۳۱ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بالبر|1402,بالبر,1402,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بالبر.zip!بالبر_۱۴۰۲_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۰۶_۳۱ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بالبر|1402,بالبر,1402,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بالبر.zip!بالبر_۱۴۰۲_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۰۶_۳۱ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
برکت|1393,برکت,1393,fiscal_year_end,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
برکت|1393,برکت,1393,auditor_opinion_type,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
برکت|1393,برکت,1393,auditor_report_date,NO_ARCHIVE_MATCH,,,NO_ARCHIVE_MATCH,CODAL separate audited financial statements + auditor report
برکت|1398,برکت,1398,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بركت.zip!بركت_۱۳۹۸_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
برکت|1398,برکت,1398,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بركت.zip!بركت_۱۳۹۸_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
برکت|1399,برکت,1399,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بركت.zip!بركت_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
برکت|1399,برکت,1399,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بركت.zip!بركت_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
برکت|1400,برکت,1400,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بركت.zip!بركت_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
برکت|1400,برکت,1400,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بركت.zip!بركت_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
برکت|1401,برکت,1401,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بركت.zip!بركت_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
برکت|1401,برکت,1401,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بركت.zip!بركت_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
برکت|1402,برکت,1402,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بركت.zip!بركت_۱۴۰۲_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
برکت|1402,برکت,1402,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بركت.zip!بركت_۱۴۰۲_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بکاب|1397,بکاب,1397,auditor_opinion_type,MATCHED_SEPARATE_CORRECTION_SELECTED,HTML_MISLABELED_XLSX,بكاب.zip!بكاب_۱۳۹۷_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بکاب|1397,بکاب,1397,auditor_report_date,MATCHED_SEPARATE_CORRECTION_SELECTED,HTML_MISLABELED_XLSX,بكاب.zip!بكاب_۱۳۹۷_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بکاب|1398,بکاب,1398,fiscal_year_end,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بكاب.zip!بكاب_۱۳۹۸_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,NOT_PRESENT_IN_SOURCE,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بکاب|1398,بکاب,1398,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بكاب.zip!بكاب_۱۳۹۸_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بکاب|1398,بکاب,1398,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بكاب.zip!بكاب_۱۳۹۸_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۰۶_۳۱ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بکاب|1399,بکاب,1399,auditor_opinion_type,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بكاب.zip!بكاب_۱۳۹۹_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۶_۳۱ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
بکاب|1399,بکاب,1399,auditor_report_date,MATCHED_SEPARATE_VALID,HTML_MISLABELED_XLSX,بكاب.zip!بكاب_۱۳۹۹_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۶_۳۱ (حسابرسی شده).xlsx,AUDITOR_REPORT_ABSENT_FROM_PAYLOAD,CODAL auditor report (گزارش حسابرس مستقل) for this ticker|fiscal_year
