unique_request_id,request_type,InsCode,ISIN,ticker,endpoint_date,range_start_date,range_end_date,occurrence_count,evidence_reason,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0046,POINT_DATE,14231831499205396,IRO1SSNR0001,سنیر,2018-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,13360.0
UNQ0047,POINT_DATE,14617104402836487,IRO1SEIL0001,سیلام,2014-05-19,,,2,BOTH,0.0,0.0,0.0,8507.0
UNQ0048,POINT_DATE,14617104402836487,IRO1SEIL0001,سیلام,2015-05-18,,,1,BOTH,0.0,0.0,0.0,6988.0
UNQ0049,POINT_DATE,14617104402836487,IRO1SEIL0001,سیلام,2015-05-19,,,1,BOTH,0.0,0.0,0.0,6988.0
UNQ0050,POINT_DATE,14617104402836487,IRO1SEIL0001,سیلام,2016-05-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,4919.0
UNQ0051,POINT_DATE,14617104402836487,IRO1SEIL0001,سیلام,2016-05-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,4919.0
UNQ0052,POINT_DATE,14617104402836487,IRO1SEIL0001,سیلام,2017-05-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,4197.0
UNQ0053,POINT_DATE,14617104402836487,IRO1SEIL0001,سیلام,2017-05-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,4197.0
UNQ0054,POINT_DATE,14617104402836487,IRO1SEIL0001,سیلام,2018-05-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2300.0
UNQ0055,POINT_DATE,14617104402836487,IRO1SEIL0001,سیلام,2019-05-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,6556.0
UNQ0056,POINT_DATE,15949743338644220,IRO1SURO0001,ساروم,2015-07-19,,,2,BOTH,0.0,0.0,0.0,4706.0
UNQ0057,POINT_DATE,15949743338644220,IRO1SURO0001,ساروم,2016-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2618.0
UNQ0058,POINT_DATE,16369313804633525,IRO1HJPT0001,حپترو,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2892.0
UNQ0059,POINT_DATE,16369313804633525,IRO1HJPT0001,حپترو,2016-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2946.0
UNQ0060,POINT_DATE,16369313804633525,IRO1HJPT0001,حپترو,2016-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2946.0
UNQ0061,POINT_DATE,16369313804633525,IRO1HJPT0001,حپترو,2017-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,4128.0
UNQ0062,POINT_DATE,16369313804633525,IRO1HJPT0001,حپترو,2017-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,4128.0
UNQ0063,POINT_DATE,16369313804633525,IRO1HJPT0001,حپترو,2018-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2302.0
UNQ0064,POINT_DATE,16369313804633525,IRO1HJPT0001,حپترو,2019-07-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,9476.0
UNQ0065,POINT_DATE,16369313804633525,IRO1HJPT0001,حپترو,2019-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,9476.0
UNQ0066,POINT_DATE,17059960254855208,IRO1BENN0001,غبهنوش,2014-07-16,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,10497.0
UNQ0067,POINT_DATE,17059960254855208,IRO1BENN0001,غبهنوش,2014-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,10497.0
UNQ0068,POINT_DATE,17059960254855208,IRO1BENN0001,غبهنوش,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,4233.0
UNQ0069,POINT_DATE,17059960254855208,IRO1BENN0001,غبهنوش,2016-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,6864.0
UNQ0070,POINT_DATE,17059960254855208,IRO1BENN0001,غبهنوش,2016-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,6864.0
UNQ0071,POINT_DATE,17059960254855208,IRO1BENN0001,غبهنوش,2017-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,5018.0
UNQ0072,POINT_DATE,17059960254855208,IRO1BENN0001,غبهنوش,2017-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,5018.0
UNQ0073,POINT_DATE,17059960254855208,IRO1BENN0001,غبهنوش,2018-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,4089.0
UNQ0074,POINT_DATE,17059960254855208,IRO1BENN0001,غبهنوش,2019-07-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,12719.0
UNQ0075,POINT_DATE,17059960254855208,IRO1BENN0001,غبهنوش,2019-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,12719.0
UNQ0076,POINT_DATE,17330546482145553,IRO1MHKM0001,خمهر,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,1786.0
UNQ0077,POINT_DATE,17834623106317041,IRO1MNSR0001,خنصیر,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3837.0
UNQ0078,POINT_DATE,17834623106317041,IRO1MNSR0001,خنصیر,2016-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2467.0
