ticker,ticker_normalized,company_name,n_panel_rows,current_prelisting_proxy_row_count,current_first_eligible_year_proxy,screening_public_entry_date_jalali,screening_public_entry_date_gregorian,screening_event_type,screening_date_precision,screening_source_type,screening_source_title,screening_source_url,screening_source_confidence,suspected_public_entry_after_1392,estimated_eligibility_rows_changed,estimated_t_plus_1_pairs_changed,tsetmc_instrument_match_status,tsetmc_ordinary_instrument_count,tsetmc_candidate_date,multiple_ordinary_instruments,tsetmc_conflict_flag,screening_status,priority_tier,priority_rank,selection_reason,selected_for_batch02_v2
فاذر,فاذر,شرکت صنایع آذرآب,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,79,no_reliable_evidence_for_public_entry,0
فارس,فارس,شرکت صنایع پتروشیمی خلیج فارس,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,80,no_reliable_evidence_for_public_entry,0
فایرا,فایرا,آلومینیوم ایران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,81,no_reliable_evidence_for_public_entry,0
فباهنر,فباهنر,صنایع مس شهید باهنر,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,82,no_reliable_evidence_for_public_entry,0
فجام,فجام,شرکت صنعتی جام دارو (سهامی عام),10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,83,no_reliable_evidence_for_public_entry,0
فجر,فجر,فولاد امیرکبیر کاشان,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,84,no_reliable_evidence_for_public_entry,0
فخوز,فخوز,فولاد خوزستان,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,85,no_reliable_evidence_for_public_entry,0
فرآور,فرآور,فرآوری مواد معدنی ایران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,86,no_reliable_evidence_for_public_entry,0
فسرب,فسرب,ملی سرب و روی ایران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,87,no_reliable_evidence_for_public_entry,0
فسپا,فسپا,گروه صنعتی سپاهان,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,88,no_reliable_evidence_for_public_entry,0
فمراد,فمراد,آلومراد,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,89,no_reliable_evidence_for_public_entry,0
فملی,فملی,ملی صنایع مس ایران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,90,no_reliable_evidence_for_public_entry,0
فنورد,فنورد,نورد و تولید قطعات فولادی,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,91,no_reliable_evidence_for_public_entry,0
فولاژ,فولاژ,فولاد آلیاژی ایران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,92,no_reliable_evidence_for_public_entry,0
فپنتا,فپنتا,صنعتی سپنتا,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,93,no_reliable_evidence_for_public_entry,0
لابسا,لابسا,شرکت آبسال,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,94,no_reliable_evidence_for_public_entry,0
لبوتان,لبوتان,شرکت گروه صنعتی بوتان,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,95,no_reliable_evidence_for_public_entry,0
لخزر,لخزر,شرکت صنعتی پارس خزر,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,96,no_reliable_evidence_for_public_entry,0
لسرما,لسرما,شرکت صنایع سرماآفرین ایران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,97,no_reliable_evidence_for_public_entry,0
های وب,های وب,داده گستر عصر نوین,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,98,no_reliable_evidence_for_public_entry,0
همراه,همراه,ارتباطات سیار ایران,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,99,no_reliable_evidence_for_public_entry,0
ومعادن,ومعادن,شرکت سرمایه گذاری توسعه معادن و فلزات (سهامی عام),11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,100,no_reliable_evidence_for_public_entry,0
وملی,وملی,سرمایه گذاری گروه صنعتی ملی,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,101,no_reliable_evidence_for_public_entry,0
پارسان,پارسان,شرکت گسترش نفت و گاز پارسیان,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,102,no_reliable_evidence_for_public_entry,0
پدرخش,پدرخش,شرکت تولیدی و صنعتی درخشان تهران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,103,no_reliable_evidence_for_public_entry,0
