row_key,ticker,fiscal_year,source_file,source_url,previous_statement_scope,corrected_statement_scope,correction_basis,timestamp
فخوز|1399,فخوز,1399,فخوز_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فخوز|1400,فخوز,1400,فخوز_۱۴۰۰_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فخوز|1401,فخوز,1401,فخوز_۱۴۰۱_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فخوز|1402,فخوز,1402,فخوز_۱۴۰۲_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فملی|1394,فملی,1394,فملي_۱۳۹۴_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فملی|1395,فملی,1395,فملي_۱۳۹۵_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فملی|1396,فملی,1396,فملي_۱۳۹۶_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فملی|1397,فملی,1397,فملي_۱۳۹۷_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فملی|1398,فملی,1398,فملي_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فملی|1399,فملی,1399,فملي_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده)(اصلاحیه).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
